Systematic ID	Gene name	Product description
SPBC8D2.23	new15	mitochondrial ribosomal protein subunit L35
SPBC83.06c	rtc6	mitochondrial ribosomal protein subunit L36
SPBC2F12.10	mrpl35	mitochondrial ribosomal protein subunit L38
SPBC2D10.08c	yml6	mitochondrial ribosomal protein subunit L4
SPAC4F8.05c	mrpl28	mitochondrial ribosomal protein subunit L40
SPAC3A12.19	mrpl27	mitochondrial ribosomal protein subunit L41
SPBC19C2.12	mrpl51	mitochondrial ribosomal protein subunit L43
SPBC3B9.14c	mrpl3	mitochondrial ribosomal protein subunit L44
SPCC126.05c	mrpl17	mitochondrial ribosomal protein subunit L46
SPAC3H8.03	img2	mitochondrial ribosomal protein subunit L49
SPBC2F12.02c	mrpl7	mitochondrial ribosomal protein subunit L5
SPBC2G2.07c	mug178	mitochondrial ribosomal protein subunit L51-b
SPAC23A1.18c	mrp51	mitochondrial ribosomal protein subunit L51-bS1m
SPBC56F2.14	mrpl44	mitochondrial ribosomal protein subunit L53
SPCC645.09	mrpl37	mitochondrial ribosomal protein subunit L54
SPBC1539.01c	mrpl15	mitochondrial ribosomal protein subunit L57
SPCC1393.11	mrpl20	mitochondrial ribosomal protein subunit L58
SPAC1952.14c	mrpl25	mitochondrial ribosomal protein subunit L59
SPAC12G12.08	mrpl6	mitochondrial ribosomal protein subunit L6
SPCC16A11.11	mrpl31	mitochondrial ribosomal protein subunit L60
SPBC18H10.17c	mhr1	mitochondrial ribosomal protein subunit L67
SPCC777.17c		mitochondrial ribosomal protein subunit L9
SPCC1442.19	mrp49	mitochondrial ribosomal protein subunit Mrp49
SPBC211.01	rsm10	mitochondrial ribosomal protein subunit S10
SPAC1B3.18c	mrps18	mitochondrial ribosomal protein subunit S11
SPAC4F8.06	mrps12	mitochondrial ribosomal protein subunit S12
SPCC1795.07	sws2	mitochondrial ribosomal protein subunit S13
SPAC23H3.07c	mrp2	mitochondrial ribosomal protein subunit S14
SPBC11B10.04c	mrps28	mitochondrial ribosomal protein subunit S15
SPBC354.06	mrps16	mitochondrial ribosomal protein subunit S16
SPBC409.14c	mrps17	mitochondrial ribosomal protein subunit S17
SPCC18B5.04	rsm18	mitochondrial ribosomal protein subunit S18
SPAC1751.02c	rsm19	mitochondrial ribosomal protein subunit S19
SPAC24C9.10c	mrp4	mitochondrial ribosomal protein subunit S2
SPBC839.09c	mrp21	mitochondrial ribosomal protein subunit S21
SPBC16A3.04	rsm25	mitochondrial ribosomal protein subunit S23
SPBC29A3.15c	rsm23	mitochondrial ribosomal protein subunit S29
