NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0009124	GO:0009124		17	0.42052463	1.5688642	0.03718091	0.043540355	0.7668	774	tags=41%, list=18%, signal=50%	
GO:0006796	GO:0006796		105	0.2575627	1.5648189	0.0036166366	0.043946937	0.7752	865	tags=32%, list=20%, signal=39%	
GO:0043170	GO:0043170		208	0.23043455	1.5614364	0.0025641026	0.04431428	0.7822	1227	tags=41%, list=28%, signal=54%	
GO:0009150	GO:0009150		25	0.3676779	1.5437692	0.04101327	0.048458457	0.8178	1372	tags=64%, list=32%, signal=93%	
GO:0044272	GO:0044272		18	0.40787557	1.541727	0.051635113	0.04835239	0.8208	1054	tags=61%, list=24%, signal=80%	
GO:1901293	GO:1901293		40	0.3193989	1.538272	0.028590878	0.048680607	0.8272	774	tags=35%, list=18%, signal=42%	
GO:0090407	GO:0090407		65	0.2839746	1.5352213	0.017176997	0.049073573	0.833	865	tags=35%, list=20%, signal=44%	
GO:0009165	GO:0009165		40	0.3193989	1.5204883	0.02596538	0.05272083	0.8592	774	tags=35%, list=18%, signal=42%	
GO:0006163	GO:0006163		28	0.3488724	1.5176008	0.034674924	0.053043857	0.8636	1372	tags=61%, list=32%, signal=88%	
GO:0009064	GO:0009064		16	0.4186219	1.5102689	0.04740904	0.05460814	0.8736	459	tags=38%, list=11%, signal=42%	
GO:0044281	GO:0044281		314	0.206938	1.4884629	0.0	0.060867585	0.899	877	tags=31%, list=20%, signal=36%	
GO:0006396	GO:0006396		36	0.317129	1.4787495	0.03339756	0.06364528	0.9102	1360	tags=56%, list=31%, signal=80%	
GO:0044238	GO:0044238		448	0.19624886	1.4696937	0.0	0.066112846	0.922	964	tags=30%, list=22%, signal=35%	
GO:0006766	GO:0006766		18	0.39196444	1.4593974	0.070406415	0.06923742	0.9334	1046	tags=50%, list=24%, signal=66%	
GO:0009112	GO:0009112		19	0.37832627	1.4511539	0.06838565	0.071578994	0.9424	829	tags=42%, list=19%, signal=52%	
GO:1901137	GO:1901137		60	0.26404133	1.421797	0.039826214	0.08329901	0.9684	775	tags=32%, list=18%, signal=38%	
GO:0051171	GO:0051171		35	0.3037362	1.4072407	0.06767868	0.08936695	0.9772	1326	tags=54%, list=31%, signal=78%	
GO:0060255	GO:0060255		39	0.2827066	1.3391469	0.09228824	0.1272841	0.9964	1227	tags=49%, list=28%, signal=67%	
GO:0043648	GO:0043648		30	0.30272415	1.3295873	0.10225198	0.13221419	0.997	343	tags=27%, list=8%, signal=29%	
GO:0065008	GO:0065008		21	0.3309718	1.303382	0.13051252	0.14984928	0.9988	1139	tags=57%, list=26%, signal=77%	
GO:0010468	GO:0010468		21	0.32440072	1.2969606	0.13125	0.15323667	0.9988	1206	tags=52%, list=28%, signal=72%	
GO:0044106	GO:0044106		15	0.36456466	1.2885993	0.15748031	0.15816754	0.9992	595	tags=47%, list=14%, signal=54%	
GO:0072522	GO:0072522		20	0.3116027	1.226293	0.19393593	0.21348351	1.0	829	tags=35%, list=19%, signal=43%	
GO:0080090	GO:0080090		39	0.25837433	1.2190748	0.16731267	0.21875593	1.0	1326	tags=51%, list=31%, signal=73%	
GO:0009308	GO:0009308		16	0.33626235	1.2133455	0.20485175	0.2227255	1.0	595	tags=44%, list=14%, signal=51%	
GO:0019222	GO:0019222		49	0.2395374	1.2116294	0.17292225	0.22235325	1.0	1227	tags=45%, list=28%, signal=62%	
GO:0009152	GO:0009152		17	0.326527	1.2080634	0.20903955	0.22381769	1.0	774	tags=35%, list=18%, signal=43%	
GO:1901135	GO:1901135		102	0.19740787	1.1804107	0.15638575	0.25305918	1.0	811	tags=26%, list=19%, signal=32%	
GO:0009057	GO:0009057		18	0.31157947	1.1764332	0.24445741	0.25532433	1.0	678	tags=33%, list=16%, signal=39%	
GO:0072521	GO:0072521		36	0.24754985	1.1558048	0.23127036	0.2782417	1.0	1372	tags=53%, list=32%, signal=77%	
GO:0006164	GO:0006164		18	0.30264106	1.1366009	0.2770683	0.30111542	1.0	774	tags=33%, list=18%, signal=40%	
GO:0010556	GO:0010556		24	0.25946313	1.0668427	0.35052755	0.40530437	1.0	1326	tags=54%, list=31%, signal=78%	
