NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:1901575	GO:1901575		141	0.17751707	1.1292973	0.14975846	0.39975837	0.9996	399	tags=18%, list=9%, signal=19%	
GO:1901564	GO:1901564		281	0.1531509	1.1127112	0.11764706	0.42567393	0.9998	868	tags=28%, list=20%, signal=33%	
GO:0006396	GO:0006396		36	0.22457708	1.1056195	0.29669032	0.43376532	0.9998	197	tags=14%, list=5%, signal=14%	
GO:0051179	GO:0051179		167	0.16315791	1.100106	0.17801048	0.43920904	0.9998	586	tags=22%, list=13%, signal=24%	
GO:0006520	GO:0006520		92	0.17782514	1.0925592	0.26329115	0.44901347	0.9998	578	tags=20%, list=13%, signal=22%	
GO:0009059	GO:0009059		78	0.18403248	1.0879908	0.24726477	0.45275915	0.9998	616	tags=24%, list=14%, signal=28%	
GO:0006259	GO:0006259		34	0.22175494	1.0664587	0.33830276	0.49105158	0.9998	472	tags=24%, list=11%, signal=26%	
GO:0006974	GO:0006974		17	0.27944192	1.060876	0.34545454	0.4965383	0.9998	296	tags=24%, list=7%, signal=25%	
GO:0006810	GO:0006810		157	0.15828866	1.0596586	0.27570093	0.49309716	0.9998	632	tags=22%, list=15%, signal=25%	
GO:1901565	GO:1901565		54	0.19717959	1.0594054	0.33225283	0.48785374	0.9998	364	tags=19%, list=8%, signal=20%	
GO:0006281	GO:0006281		16	0.2807086	1.0545006	0.36104318	0.49235368	1.0	296	tags=25%, list=7%, signal=27%	
GO:0006865	GO:0006865		24	0.2394137	1.0533661	0.36523438	0.4890918	1.0	381	tags=21%, list=9%, signal=23%	
GO:0044281	GO:0044281		314	0.14376946	1.0480244	0.30952382	0.49464548	1.0	669	tags=21%, list=15%, signal=23%	
GO:1901136	GO:1901136		22	0.24770716	1.0383948	0.3865932	0.5097953	1.0	399	tags=27%, list=9%, signal=30%	
GO:0006820	GO:0006820		52	0.19379471	1.0372559	0.3824885	0.5066014	1.0	545	tags=25%, list=13%, signal=28%	
GO:0051234	GO:0051234		159	0.15509908	1.0298244	0.375	0.5169398	1.0	632	tags=22%, list=15%, signal=25%	
GO:0055085	GO:0055085		78	0.17688026	1.0221078	0.3963039	0.52762395	1.0	586	tags=24%, list=13%, signal=28%	
GO:0048519	GO:0048519		24	0.2357487	1.018415	0.4021215	0.53007424	1.0	870	tags=42%, list=20%, signal=52%	
GO:0044275	GO:0044275		15	0.27107465	1.001903	0.4214047	0.56037956	1.0	369	tags=27%, list=8%, signal=29%	
GO:0044106	GO:0044106		15	0.26310027	0.9746367	0.47309238	0.6129421	1.0	625	tags=33%, list=14%, signal=39%	
GO:0034470	GO:0034470		33	0.20648526	0.9687972	0.4948097	0.6193348	1.0	867	tags=33%, list=20%, signal=41%	
GO:0006644	GO:0006644		17	0.25035065	0.9673702	0.4797239	0.61616355	1.0	276	tags=18%, list=6%, signal=19%	
GO:0010468	GO:0010468		21	0.22933802	0.95239407	0.51132077	0.64314055	1.0	906	tags=43%, list=21%, signal=54%	
GO:1901605	GO:1901605		65	0.16345808	0.9291505	0.5975177	0.6889459	1.0	379	tags=15%, list=9%, signal=17%	
GO:0065007	GO:0065007		101	0.1514512	0.9265543	0.650289	0.6879775	1.0	910	tags=34%, list=21%, signal=42%	
GO:0008610	GO:0008610		25	0.2092056	0.9086745	0.61621094	0.72063965	1.0	366	tags=16%, list=8%, signal=17%	
GO:0006790	GO:0006790		37	0.18363594	0.90030783	0.6404908	0.73171145	1.0	446	tags=16%, list=10%, signal=18%	
GO:0006950	GO:0006950		47	0.17184277	0.89822376	0.6564673	0.7290939	1.0	576	tags=23%, list=13%, signal=27%	
GO:1901264	GO:1901264		15	0.23939115	0.8810601	0.613828	0.7584163	1.0	90	tags=13%, list=2%, signal=14%	
GO:0044283	GO:0044283		71	0.15161073	0.8669254	0.76171875	0.7795117	1.0	902	tags=34%, list=21%, signal=42%	
GO:0018193	GO:0018193		15	0.23538853	0.86302835	0.6385936	0.78029656	1.0	494	tags=27%, list=11%, signal=30%	
GO:0016052	GO:0016052		41	0.16817513	0.8508787	0.7434293	0.79682595	1.0	399	tags=17%, list=9%, signal=19%	
GO:0043648	GO:0043648		30	0.18342184	0.84490037	0.7383475	0.8012277	1.0	756	tags=30%, list=17%, signal=36%	
GO:0042221	GO:0042221		45	0.15774825	0.82107085	0.81466115	0.83758205	1.0	644	tags=22%, list=15%, signal=26%	
GO:0008652	GO:0008652		31	0.16966915	0.8006591	0.8011236	0.8641705	1.0	529	tags=19%, list=12%, signal=22%	
GO:0043933	GO:0043933		18	0.20144092	0.799459	0.7709594	0.85825384	1.0	591	tags=22%, list=14%, signal=26%	
GO:0019222	GO:0019222		49	0.14528562	0.7625407	0.89518416	0.90555567	1.0	910	tags=33%, list=21%, signal=41%	
GO:0044264	GO:0044264		15	0.20638685	0.75766647	0.81856185	0.90434897	1.0	2807	tags=93%, list=65%, signal=263%	
GO:0009064	GO:0009064		16	0.19682214	0.7503672	0.8290735	0.90621614	1.0	173	tags=13%, list=4%, signal=13%	
GO:0008104	GO:0008104		17	0.18325028	0.71062243	0.88596493	0.94260687	1.0	2668	tags=88%, list=61%, signal=228%	
GO:0006081	GO:0006081		15	0.17896843	0.6557691	0.92659825	0.97829485	1.0	725	tags=27%, list=17%, signal=32%	
GO:0022607	GO:0022607		27	0.12736264	0.5683053	0.98814654	1.0	1.0	591	tags=19%, list=14%, signal=21%	
GO:0030001	GO:0030001		21	0.13670754	0.56564283	0.9896907	0.9978339	1.0	406	tags=14%, list=9%, signal=16%	
GO:0016051	GO:0016051		19	0.13681614	0.54556775	0.98515284	0.99299455	1.0	671	tags=21%, list=15%, signal=25%	
